
Run Name: sgd_sigmoid_4_128_64
Epoch 1/10: Loss=2.3030, Acc=0.0995, Val Loss=2.3022, Val Acc=0.1050
Epoch 2/10: Loss=2.3028, Acc=0.0992, Val Loss=2.3023, Val Acc=0.1050
Epoch 3/10: Loss=2.3027, Acc=0.0992, Val Loss=2.3024, Val Acc=0.1050
Epoch 4/10: Loss=2.3027, Acc=0.0980, Val Loss=2.3025, Val Acc=0.1003
Epoch 5/10: Loss=2.3026, Acc=0.0990, Val Loss=2.3025, Val Acc=0.1003
Epoch 6/10: Loss=2.3026, Acc=0.0997, Val Loss=2.3026, Val Acc=0.1003
Epoch 7/10: Loss=2.3026, Acc=0.0983, Val Loss=2.3026, Val Acc=0.1003
Epoch 8/10: Loss=2.3026, Acc=0.0997, Val Loss=2.3027, Val Acc=0.0973
Epoch 9/10: Loss=2.3026, Acc=0.1006, Val Loss=2.3027, Val Acc=0.0925
Epoch 10/10: Loss=2.3026, Acc=0.1001, Val Loss=2.3027, Val Acc=0.0925
