
Run Name: adam_tanh_5_128_64
Epoch 1/10: Loss=0.5005, Acc=0.8182, Val Loss=0.4107, Val Acc=0.8517
Epoch 2/10: Loss=0.4001, Acc=0.8533, Val Loss=0.4018, Val Acc=0.8527
Epoch 3/10: Loss=0.3752, Acc=0.8627, Val Loss=0.4642, Val Acc=0.8345
Epoch 4/10: Loss=0.3593, Acc=0.8691, Val Loss=0.3790, Val Acc=0.8645
Epoch 5/10: Loss=0.3409, Acc=0.8752, Val Loss=0.4103, Val Acc=0.8478
Epoch 6/10: Loss=0.3367, Acc=0.8748, Val Loss=0.3447, Val Acc=0.8760
Epoch 7/10: Loss=0.3276, Acc=0.8801, Val Loss=0.3588, Val Acc=0.8727
Epoch 8/10: Loss=0.3256, Acc=0.8811, Val Loss=0.3756, Val Acc=0.8628
Epoch 9/10: Loss=0.3209, Acc=0.8817, Val Loss=0.3442, Val Acc=0.8747
Epoch 10/10: Loss=0.3151, Acc=0.8833, Val Loss=0.3591, Val Acc=0.8698
